#State	time	PE_b1	PE_m1	PE_t	PE_m2	PE_b2	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	fx1	fy1	fx2	fy2	fx3	fy3	fx4	fy4	fx5	fy5
2	0.0083	0.019	0.04	3.1e-06	0.051	0.016	0	0	0.943148	10.4475	-5.58694	33.3341	1.06994	10.4841	0.717341	0	-0.0131615	0.00118815	0.0212866	0.00113016	-0.0171739	-0.00495446	0.0252169	0.00209239	-0.0161682	0.000543765
2	0.0084	0.033	2.8e-05	1.3e-05	0.00017	0.029	0	0	2.93476	10.0711	-8.37015	31.0148	3.16929	10.1994	0.717341	0	0.00787076	-0.00229357	-0.00798304	0.00223296	-0.000279725	-0.00015671	-0.00545089	0.00162196	0.0058429	-0.00140464
2	0.0085	0.025	0.00074	5.3e-06	0.0026	0.021	0	0	1.89167	10.318	-10.1824	30.828	2.04028	10.4062	0.717341	0	0.00405188	-0.000742854	-0.00301154	0.00135529	-0.00282971	-0.0016834	0.000472925	0.00123832	0.00131645	-0.000167359
2	0.0086	0.0029	0.29	0.0039	0.061	0.019	0	0	-2.9415	10.0691	-2.47145	33.8645	1.73984	10.44	0.717341	0	-0.0468522	-0.0136869	0.0710275	0.0132094	-0.0327228	-0.00105911	0.0260134	-0.000173946	-0.017466	0.00171062
2	0.0087	0.041	0.0075	3.7e-05	0.0082	0.038	0	0	3.85752	9.75498	-1.29643	32.9902	4.30277	9.85824	0.717341	0	0.000307685	-0.000121671	0.00339997	0.00094409	-0.00725951	-0.00168216	0.00387201	0.000743299	-0.000320161	0.000116442
2	0.0088	0.013	0.16	0.00015	0.14	0.014	0	0	-0.137887	10.4891	0.315093	34.2848	0.798273	10.4897	0.717341	0	-0.0332685	-0.00043734	0.0504053	0.00011112	-0.0323478	1.73472e-05	0.0454133	7.58506e-05	-0.0302023	0.000233022
2	0.0089	0.053	0.01	3e-05	0.008	0.049	0	0	5.06862	9.18418	-5.57595	30.4711	5.43298	9.37032	0.717341	0	0.0169266	-0.00934154	-0.020556	0.00752663	0.00709494	0.00362297	-0.0195234	0.00627313	0.0160579	-0.00808119
2	0.009	0.014	0.023	8.9e-07	0.036	0.0099	0	0	-0.0389173	10.4899	-10.8047	31.7158	-0.102228	10.4579	0.717341	0	-0.009451	-3.50629e-05	0.0150919	0.00289614	-0.0127889	-0.00645981	0.0209599	0.00468114	-0.0138119	-0.00108241
2	0.0091	0.02	0.021	2.6e-06	0.029	0.016	0	0	1.07686	10.4346	-7.6533	32.5756	1.18959	10.4794	0.717341	0	-0.00778705	0.000803629	0.0134854	0.00144322	-0.0123337	-0.0049023	0.0175159	0.00216511	-0.0108806	0.00049033
2	0.0092	0.052	0.0043	3.1e-05	0.0032	0.048	0	0	4.95963	9.24349	-4.46059	31.0998	5.34545	9.41386	0.717341	0	0.0140565	-0.00754209	-0.0164561	0.00650788	0.00471076	0.00207931	-0.0155609	0.00546882	0.0132497	-0.00651392
2	0.0093	0.027	0.011	1.3e-05	0.015	0.024	0	0	2.23774	10.2485	-5.70711	32.6833	2.48937	10.3392	0.717341	0	-0.00302253	0.000659961	0.00732215	0.000862671	-0.00907504	-0.0032744	0.00984678	0.00088259	-0.00507137	0.000869175
2	0.0094	0.035	0.0002	1.8e-05	0.00085	0.032	0	0	3.26738	9.96817	-6.49669	31.6731	3.55372	10.0993	0.717341	0	0.00632309	-0.00207259	-0.00567631	0.00236355	-0.00165398	-0.000760172	-0.0036412	0.00177472	0.0046484	-0.0013055
2	0.0095	0.064	0.045	3.3e-05	0.04	0.059	0	0	5.98608	8.61435	-7.1277	28.4756	6.34244	8.85429	0.717341	0	0.0254065	-0.0176549	-0.0326942	0.012843	0.0143344	0.00964944	-0.031892	0.0109465	0.0248453	-0.0157841
2	0.0096	0.022	0.03	7.7e-06	0.038	0.019	0	0	1.44983	10.3893	-5.16632	33.2512	1.65064	10.4484	0.717341	0	-0.0101561	0.00141728	0.0172415	0.000633231	-0.0148317	-0.00436625	0.0203663	0.00118845	-0.0126201	0.00112729
